,Palabra,sugerencias
578,daria,"dara,dario,desearia,diria,adrian,quedaria,haria,ari,dai,taria,damian,daiana,danisa,darling"
579,segun,"seguia,seguire,seguira,seg"
580,down,"own,dont,dond"
581,who,
582,kevin,
583,malisimo,"malisima,malísimo,mais,maldicion,maximo"
584,only,
585,funes,fun
586,pau,"paul,papu,pauli"
587,gordi,"gordis,gordii,gordiii,gordaa,gordoo,god,gor"
588,ღ,
589,lei,"leido,leito,leiva"
590,spotify,spot
591,gabi,"abi,gabriel,gaby,gabriela,gabo"
592,w,
593,entendi,"entendia,entendio,entendo,entende,entoe"
594,fernández,"fernandez,ferne,fernando,fernanda,hernandez"
595,estacion,"situacion,estariamos,atencion,gestion,estaran,estoi,estaa,escabio"
596,paaa,"papaa,pasaa,paraa,pajaa,paa,apaa,paaabre,parana,paka,pachamama"
597,twittear,"twittea,twittera,twitear,twiter,twitea,twittean,twitteros,twitt,twitteo,twitteando,twit,twitts,twiteo,twiteando,tuitear,twits"
598,post,postaa
599,potter,"plottier,power,poker"
600,antonio,"anonimo,noni,antonella"
601,belen,"been,bieen,bueen,elena,believe,belinda,beltran"
602,casita,"cajita,caia,cosita,caritas,capitan,casaa,cositas,clarita,caida,caiste,caiate,cafesito,cadenita,cabecita"
603,enzo,renzo
604,rocio,"roci,rochi,rompio,rojito,revolucion"
605,fernando,"fernanda,fernandez,ferne"
606,stalkear,"stalkea,stalkearme,stalkeas,stalkeada,stalkeo,stalkeando"
607,ucr,
608,mari,"marin,marii,marie,marti,mauri,marian,marita,marito,marisa,ari,mai,maricon,marisol,mariela,marilyn,martino,marianela,mayoria,mataria,maru,mars,mary,mark,maira,mariconear,marquitos,mail,mani,maia,maki,macrista,mais"
609,fpv,
610,tuits,"tuiteros,tuiter,tuiteo,tuitea,twits,tuti,tuitear,titulos"
611,z,
612,ohh,
613,nº,
614,awww,aww
615,aa,"aah,aay"
616,wacha,"wachas,acha,wachi,wachin,wachos,watch,wachooo"
617,oscar,oscars
618,iphone,phone
619,house,"houston,mouse,those"
620,haria,"harias,habria,hara,harris,ari,taria,chara,habian,habias,hacian,hacias,hamiga,habran,habras"
621,sonreir,"sonreis,sonrie,sonrio,sori,sorprendio,sorrentinos,sonrisita,sonia"
622,ricardo,"richard,ricoo"
623,peronista,"peronistas,personita,personitas,peronismo,peron,princesita,pobresita"
624,nadaa,"naada,andaa,nadal,nadia,naaah,bandaa,ondaa,nanana"
625,amigaa,"amig,amiguitaaa,amigass,hamiga,miaaa,amiguitas,amigoo,amigui,amalia,amega,amaria,aimogasta"
626,sub,"subi,subs,subio,subis,subte"
627,ºc,
628,bancar,"bancarme,bancarse,bancan,bancame,bancaba,bancate,bianca,bancando,bancamos,bancatela,bajonear"
629,alemania,"aleman,alem,amalia,alan,alejandra,aldana,alumni"
630,luciano,"luciana,luci,lucila,luchi"
631,retwitteados,"retuiteados,retwittear,retweets"
632,emocion,"emoticones,emoji"
633,noel,"noelia,noe"
634,ud,uda
635,tweeps,tweep
636,very,"verr,vere"
637,wanna,"anna,wanda,hanna,anana"
638,graciass,"graciaas,graciias,graciela,garcia,garcas,grace"
639,cdo,cldo
640,panqueques,panqueque
641,party,"part,paty,partio,partidoo"
642,sa,"sam,sab,sad,saa,saw"
643,manuel,"emanuel,mancuello,mantecol,mabel,majul"
644,check,"chechu,chuck"
645,boludes,"boludeses,bolu,boludaa,boludoo,blue,boludita,boludito,boludiar"
646,karina,"kari,karen"
647,vicky,"vick,viky,vicki,picky,ricky,nicky,vic"
648,ever,"every,eve,everyday,everyone,everybody,even,everything,everywhere,chevere"
649,online,
650,wee,"were,tweep,sweet"
651,picky,"ricky,nicky,pic"
652,ia,ian
653,mind,
654,mascherano,masche
655,ricky,"rocky,trick,nicky"
656,eeeh,"eeeeh,eeh,eeee,eees"
657,karen,krane
658,velez,"vélez,vee"
659,jua,"juna,juga,juaz,jugas,juaaa,juani"
660,wiii,"iii,wii"
661,estupido,"estupidos,estupidas,stupid,estubo,studio"
662,bad,"brad,band,ba"
663,laura,"labura,lara,laurita,lauri,lautaro,laburando,lau"
664,black,"blackberry,block"
665,ii,iii
666,brian,"bian,braian,deberian,bri,britney"
667,jodeme,
668,pc,
669,big,bi
670,click,clinica
671,buee,"bueen,bueeno,bueh,blue,been,boee"
672,again,pagani
673,malvinas,"milangas,alina,malena,maia,manaos,matina"
674,metele,metegol
675,yoo,
676,clasico,"clasicos,class,clash,plastico,claudio,clarito,clari"
677,matenme,"matense,mentime"
678,amorr,"amore,amora,amoor,amorcito"
679,quimica,"quimsa,quini,quiza"
680,fria,"frias,frida,friday,frak,fiat"
681,tb,tbn
682,telefe,
683,cris,"chris,cristi,cri,cristóbal,crei"
684,trick,track
685,diria,"dira,diia,iria,diran,diiia,irina"
686,abu,"abue,about,album"
687,wow,woow
688,horitas,"horita,harias,horaa"
689,loquita,"loquito,loqui,loquis,lokita,flaquita,boquitaa,loquillo"
690,chocolatada,
691,uuu,"uuuh,euuu,luuu,huuu,uuuu,nuuu,uu,uuuuh,uuuna"
692,jiji,"jijiji,jijijiji"
693,amiguito,"amiguitos,amigui,amiguitas,amiguis,amiguitaaa,amig,amiguiii,amigoo,amii,amigoss"
694,chavez,"chávez,chavon"
695,chocotorta,
696,men,"menc,menem"
697,there,"these,theory,where,heroe,other"
698,ensima,
699,senti,"sentis,sentia,sentas"
700,everything,"every,everyone"
701,muchoo,"muucho,muchisimooo"
702,champions,"champion,chamigo,camion,chamuyos,chao,chipas,champagne,chabonas,chavon,campito,chamuyo,choripanes"
703,ogt,
704,mabel,"mabeeel,malbec,maybe,mbae,mardel,marvel"
705,em,"ema,emm,emo"
706,viejita,"viejito,vieji,viejitos,viejaa,virgencita"
707,mandale,"mandandome,maal"
708,ignacio,"nacio,inflacion,naci"
709,miley,"mile,mily,miller,smile,mickey"
710,ultimos,
711,selfie,"selfies,sele"
712,gatito,"gatitos,gatita,patito,autito,gatoo,gustito"
713,take,"taka,talk,stalkeo,stalkea,toke,teke"
714,martino,"marti,marin,marito,maricon,marian,maraton,matina,martu,martínez,marisol,marilyn,marii,marie"
715,neuquén,neuquen
716,oka,"okay,loka,roka,voka,okaa,okas,okaaa"
717,alejandro,"alejandra,leandro,aleman,alan"
718,mirtha,"mirta,miraa"
719,lp,
720,uni,"muni,union"
721,arrived,
722,murio,"muito,mauri,mueroo"
723,she,"shrek,shell"
724,pj,
725,mii,"amii,mimi"
726,kun,kung
727,tn,tnt
728,julieta,julii
729,or,"ori,org"
730,charata,"chara,chaaau,cucharita,hara,charlotte,chats"
731,work,word
732,afa,"safa,safar"
733,crunching,cuchi
734,defe,"dee,defendes,deep"
735,gonzalo,"gonza,gonzalez,gonzález,gonna,golazooo"
736,máx,má
737,rombai,"romi,rompi,robin,romantico"
738,liked,likes
739,shh,
740,esten,"estee,estefi,estare,estube,estres,est,estresa,estaran"
741,vidaa,"vidal,videla,viejaa,viedma"
742,lindaa,linnda
743,alberto,"albert,alberti,alberdi"
744,pasion,"paio,pain,pasoo,pasao,presion,pavon,patin"
745,agustin,"gusti,agostina,aguss"
746,lopez,lópez
747,mín,
748,maluma,"malaa,malal,malisima,malísima"
749,higuain,higuaín
750,veia,"eia,veci,vaia"
751,bullying,"bullyng,bulling,bull"
752,yeah,"year,yeta"
753,regalito,"regalitos,reality,reggaeton"
754,short,"shot,shoro,shore,shower,sho"
755,proximo,"primoo,prox,promos,proximamente,peronismo"
756,mufa,"mua,ufa"
757,off,
758,apostoles,
759,little,
760,ak,"aka,aki"
761,cover,"conver,over,cojer,convertis,cofler,conser,discovery"
762,luciana,"luana,luci,lucila,culiaa,luchi"
763,gained,
764,chauuu,"chauu,chuuu,chuu,huuu"
765,suarez,"suárez,sure,juarez,sugar"
766,direction,"direccion,directioners,directv,dire,edicion,dijieron,decision,desicion"
767,chamuyo,"chamuyos,chamuyero,chamuya,chamuyando,chamuyar,chamigo,champion,chayero,chano,chauu"
768,fernandez,"fernanda,hernandez,ferne"
769,cagón,"cagona,cagones,cagooon"
770,handball,"hand,hands"
771,neuquen,neuer
772,team,"teamo,steam,tem,teamooo,temaa,teniamos,temp,them,tami,tamb"
773,minimo,"minima,minion,minions,minutitos"
774,anita,"juanita,pancita,ganitas,anibal,cadenita,ani,fanta,tania,hnita,semanitas"
775,asii,"aii,asiq,ahii,aiii,amii"
776,rodriguez,"rodríguez,rodri"
777,tomi,"tom,tomy,toti,tobi,tami"
778,cagaso,"cagazo,cagandome,cagandola,cagona,cansao"
779,diaz,"diia,dira,díaz"
780,recontra,"reconcha,record,conta,records,renata"
781,kg,
782,mauri,"marti,magui,marin,marii,marie,maru,auris,mau,lauri,marian,marita,manzur,marito,marisa"
783,try,"tr,troya"
784,volveee,"volvee,volvere,loveee,volvera,volverr,volveria,volveras"
785,hot,"shot,ho"
786,agos,"ago,agostina,amigoss,cargosa,cargoso,avos"
787,rompio,"rompi,romi,romantico"
788,po,"pou,poe"
789,aah,"aahhh,anahi"
790,méxico,mexico
791,ponzio,"poio,ponia,polino"
792,tipico,"tipica,tiempito"
793,obama,
794,hi,"hit,him,hip,his"
795,paul,"pauli,paulina,paulita,papu"
796,gabriel,"gabriela,ariel,gardel,abri"
797,charly,"charlie,chara,charlotte"
798,idola,"idolaa,idolaaa,idolos,idolooo,ídola"
799,girl,"girls,gill"
800,pokemon,"pokemones,pomona,poker"
801,aprendi,"rendi,prendio"
802,yeta,"year,yuta"
803,about,bou
804,missing,mishi
805,lali,"alli,lala,lalo,luli,lili,loli"
806,perdio,"pedrito,pedi,prendio,perdonnn,perdooon,perderlo,peron,peroo,perri,perdes,puterio,pedis,pedia,pedoo,peero"
807,pedi,"pedis,pedia,pedrito,prendio,pendrive,pesadita,pendejita,pendejito"
808,america,"american,amaria,eric,amega"
809,ooo,"oooh,booo,vooo,oooo,hooo,uooo,wooo,oo,moooy,ooooh,wooow"
810,loko,"lok,loka,logo,lolo"
811,an,"ani,any"
812,nati,"nait,nat,natalia,naty,natacion,naci,nani"
813,marley,"mary,male,marilyn,mardel,marvel,marge,marie"
814,alan,"aldana,aleman,balanta,galeano,alejandra"
815,lemon,"leon,limon,temon,emo,lebron,lechon"
816,arjona,jona
817,francia,"francis,fraca,francella,frances,frank,franquito"
818,com,"co,compa,comio,comun,comia,comoo,combi"
819,jesus,"jesu,jesse,jessi,jesucristo,jesuuu,jebus,jessica"
820,alario,alvaro
821,findeee,"findee,find"
822,toto,"todito,toti,tolo"
823,mix,amix
824,fué,
825,gilada,"giladas,gilda"
826,coldplay,cold
827,than,"then,taan,tano,tann"
828,conoci,"conocia,coni,conosco,confio,conto,conti"
829,mañanaaa,"mañanaa,maaa"
830,jugas,"juga,jugate,jugatela"
831,extrañoo,"extrañandote,traño,extrañitis,extrañarrr,extrañabaaa"
832,estabamos,"estariamos,estaa,estaras,estarias,estara,estubo,estaran,esaa"
833,prox,"aprox,prog,proximamente"
834,neymar,
835,calmarno,"calamaro,calm,claaro,camara,campora"
836,baires,"bardeas,barsa,barbie"
837,mierdaa,"mierd,mierrda,miraa,mier"
838,pelotudes,"pelotudeses,pelotud,pelotudita,pelu"
839,sanchez,"sánchez,sanguche"
840,bolivia,"olivia,boli,bolilla,bolsita"
841,ask,
842,demaciado,demi
843,perdes,"perderlo,perderla,pedis,pendejas"
844,goodbye,godoy
845,rg,
846,luli,"lula,lulu,luci,lili,loli"
847,malísimo,"malísima,maximo"
848,masche,"masterchef,match"
849,remix,"remis,rei,remisero"
850,beautiful,"beat,bauti"
851,venezuela,
852,whats,"wants,wha,chats"
853,belu,"bell,beli,bebu,bolu,blue"
854,chubut,"chuu,chuuu,chauu"
855,pendejas,"pendejita,pendejaaa,pendejitos,pendejito,pedaso"
856,másss,máss
857,maidana,"maia,marian,manana,marianela,miaaa,maira"
858,ciro,
859,rios,"frios,reimos,aritos,rias,reis,rosi"
860,vivis,"vivi,vivirlo,vivirla,viviana,viviria,vii"
861,co,
862,crowdfire,
863,bldo,
864,nqv,
865,us,"ush,usb"
866,kirchnerismo,"kirchnerista,kirchneristas,kinesio"
867,cosita,"cositas,cosito,colita,acosta,rosita,conta,comia,coria,comidita"
868,colombia,"colombi,comia,combi,colita"
869,putito,"putitos,puti,putitas,patito,puterio,putin,autito,putoo,poquitito"
870,europa,
871,roll,"troll,rollers,rolling"
872,peronismo,"peron,peronistas"
873,lok,"loka,lokkk"
874,moria,"morita,moris,mayoria,morfi,morfar,morgan,ori,amora,coria,soria,molina,monica,morning"
875,dream,"dreams,dread,dra"
876,sentis,"sentia,sentas,mentis,semanitas"
877,galletitas,"galletita,gatita,gatitos"
878,atencion,"atenti,natacion,nacion"
879,roberto,robert
880,eeh,
881,bahia,"baia,habian,habias,habria"
882,nahuel,"nahue,nahu"
883,shopping,
884,esoo,"estoo,besoo,esso"
885,why,
886,rap,"trap,ra,graph"
887,ari,"abri,kari,adri,ariel,arito,dario,paris,taria,avril,auris,marin,abris,marii,marie"
888,nox,
889,peter,peero
890,believe,"belieber,beli,beliebers"
891,bianchi,"bian,bianca"
892,teamo,"teamooo,temaso,temazo,teniamos,temon,veamo,tendriamos,tem,steam"
893,oooh,"ooooh,ooh,oooo"
894,primita,"primito,primi,primitos,primaa,princesita,pibita,problemita"
895,homero,
896,ey,
897,master,"masterchef,mister,matters,monster,matess,mayer,maite,manseros"
898,solari,"soli,sori,soria,solaa,solta,sobri"
899,italia,thalia
900,friends,"friend,find,rien,frios,frias,frida"
901,garron,garrix
902,omg,
903,escribi,"escribis,escribio,escribia"
904,encantaria,
905,aaay,"aaaay,aay,away,acaa,apaa"
906,nv,
907,same,"sam,salames,safe,save,some,spam"
908,ammm,amm
909,mios,"mioo,mias,milo,amigoss,microsoft,most,mais"
910,contas,"conta,cont,conto,conte,conti,cositas,convertis"
911,tengoo,tngo
912,mza,
913,bardear,"bardea,bardera,bardearme,bardean,bardeas,bardero,bardeo,bardeando,barbaro,area,barça,barsa"
914,fc,
915,biologia,"biglia,psicologia"
916,policia,"policias,politicas,poli,politico,politicos"
917,gaston,"gastón,ashton,gestion,gatoo"
918,cheto,"chetos,cheta,chelo,hector,cachetona,cheboli"
919,escabio,"escabiando,escabiar,cabio,escribio"
920,sho,"shot,shoro,shock,shore"
921,think,"thinking,thing,things,tin"
922,rafaela,rafael
923,loquito,"loqui,loquillo,loquis,flaquito"
924,kiss,"kisses,kids"
925,nicolás,"nicolas,nicole"
926,io,
927,díaaa,"díaa,daa"
928,god,"gold,godoy"
929,patagonia,pagani
930,felíz,"felizz,feliiz"
931,encontras,encontro
932,buenaa,"buenaas,buenita,buenass,buenn,bueni,unaa,buenisima,bueen,buaaa"
933,caritas,"clarita,carito,caia,cajita,carrito,macrista,cucharita,arta,cards"
934,ariel,"mariela,avril,gabriela,rie,marie,marianela"
935,quizas,"quiza,quizo,querias,quimsa"
936,guada,"guardame,guadalupe,gustaa,guarani"
937,huracan,hacian
938,situacion,
939,lara,"laa,labura,lala,laburando"
940,lot,lost
941,zombie,zombies
942,bombon,"bombonnn,bomboncito,boton"
943,dni,denis
944,javier,"javi,aver,jaime"
945,bon,"born,bo,bronk"
946,feeling,"feli,feels"
947,tendre,"tendra,tene,tendras,tendrian,tendrias,tendriamos"
948,brackets,
949,chu,"chuu,chauu,chuli,chuuu,chuck"
950,veniii,"venii,eiii"
951,sueñoo,"sueñito,seño,señooor"
952,give,gise
953,mejorr,mejoor
954,maas,"maa,manaos,matías,maal,maaa,mars,maia,mais,mias,miaa"
955,ntvg,
956,lauti,"lauty,lauri,latin,laurita,lautaro,lau,bauti"
957,temita,"temitas,metia,temaa,teresita"
958,version,"veron,veranito,vision"
959,pls,pliss
960,fest,"est,feat,fiestita"
961,orión,"oriana,ori"
962,lourdes,"lore,londres,louis"
963,they,"theory,them,then"
964,compa,"compas,compañia,compania,comparti,comia,comparacion,cumpa,comoda,copate,comeria"
965,ups,
966,uuuh,"uuuuh,uuh,uuuu"
967,arito,"aritos,arto,marito,carito,clarito,carrito,arbitros,añito,partio,dario,arturo,marquitos"
968,gonza,"gonzalez,gonna,gonzález"
969,diosito,dioos
970,imbecil,imbeciles
971,wa,"war,wap,waa"
972,stories,"store,stones,story,sori,sonrie,sonreis,stone"
973,tirame,"tiramisu,tragame,traiganme"
974,walter,walker
975,romi,"rompi,romantico,roci,room,rosi,promise,rami"
976,pampita,"papitas,pami,papito,patita"
977,where,"were,heroe"
978,park,"parker,part,pack,pake,paka"
979,cosquin,cosquín
980,tomorrow,tomorrowland
981,solcito,"solito,solucion,soli,olorcito,solta,soloo"
982,inutil,inutiles
983,guillermo,
984,encerio,"fernecito,enfermito"
985,bbm,
986,walking,"walk,talking"
987,grow,gero
988,andrea,"andre,andres,area,sandra,andaa,andrés"
989,geniaaa,"geniaa,geniaal,genias"
990,besote,"besotes,bebote,betos,besoo,besemo,besoss"
991,rie,"rien,ri"
992,could,cold
993,diganme,"diganle,siganme"
994,num,nu
995,cool,"school,cold"
996,dead,"dread,decada,deadpool,dear,depa,deca"
997,nisman,
998,mr,
999,pd,
1000,muuy,muyy
1001,kiero,"kiere,kieres,qiero,kinder"
1002,ue,
1003,pensa,"penso,pesao,piesa,peronistas,pen,petisa,pasenla"
1004,stalkeo,"stalkea,stalkeando,stalkeas,stalkeada,stalkearme,salteño,talk,state"
1005,male,"malena,malote,malbec,sumale,mall,maal,made,mail,mile,mbae"
1006,querias,"queriamos,querian,quere,quero,quedaria,queresss,queridoo"
1007,trailer,"tráiler,traiganme"
1008,ahiii,"ahii,aiii,aii"
1009,andres,"andre,andrés,ades,anses"
1010,andrés,andre
1011,stalkeando,"stalkea,stalkeada,stalkeas,stalkearme"
1012,lanus,"lanús,lau,lan"
1013,ramiro,"rami,ramirez,ramon"
1014,really,"rally,reality,ready,replay"
1015,martínez,"marti,martu"
1016,pobrecito,"pobrecitos,pobrecita,pobresito,pobresita,pobree,pechito,parecio"
1017,vinito,"vientito,into,viejito,viejitos"
1018,tenian,"tendrian,teniamos,tecnica,tendrias"
1019,high,
1020,credito,"crei,carito,cargadito,creia"
1021,aaaah,"aaaay,acaaa,naaah"
1022,niembro,
1023,bob,bo
1024,friend,"find,rien,frida,freud"
1025,story,"sory,store,history"
1026,lópez,
1027,rossi,"rosi,rosita,crossfit,dross"
1028,colgue,colgo
1029,mamu,"mau,maru"
1030,chipa,"chipas,chimpay,chipitas,choripan,chi,hip,choripanes,chicago,chinita,chicass"
1031,micaela,"michael,marcela,mariela"
1032,cai,"caia,cali,capi,cati,caida,cabio,caido,camii"
1033,android,"andre,adri,andaria"
1034,sgo,sigoo
1035,doing,"domingoo,dominguez,going"
1036,aparecio,"parecio,apartir"
1037,añitos,"añito,aritos,bañito,pañuelitos"
1038,gancia,"garcia,ganitas,garca"
1039,culiados,"culiadaso,culiadas,culiadooo,culeado,culiaooo,culiau,culito,culiar,culiaa,claudio,culeao,culiaaa,cldo"
1040,ramon,"raton,maroon,jamon,rawson"
1041,hahaha,"hahahaha,haha,aahhh"
1042,fuee,feed
1043,vamoss,"vamoos,vamonos,vamoo"
1044,may,"many,mary,maty,maybe,mayra,mayer"
1045,doc,
1046,nicolas,nicole
1047,sabella,"isabella,stella,bell,sabra"
1048,eduardo,
1049,nothing,thing
1050,voos,"voo,vamoos,vooo,vooy,volo,veoo"
1051,sumate,"sumale,subte"
1052,valentin,"valentín,valeria,valee"
1053,maal,"maa,magali,maaa,malaa,malal,mail,mall,maia,miaa"
1054,chabonnn,"chabonn,chabooon,chabonas,chan,chao,chavon,chano"
1055,always,away
1056,carhue,"carhué,care"
1057,following,"follows,falling"
1058,dejenme,dejense
1059,sensacion,"nacion,session,season,nacio"
1060,pochoclos,"pochoclo,pocoo,pool"
1061,pami,"pam,pame,paio,pain"
1062,amigoo,"amig,amigoss,mioo,amiguitos,amigui,amoor,amego"
1063,iii,"aiii,kiii,eiii,diiia"
1064,xfa,
1065,delpo,"dep,delfino"
1066,atletico,"patetico,matecito,atenti"
1067,vot,
1068,durmio,"durmiendoo,durisimo,durísimo,duermoo"
1069,fire,"fiore,ire,fiorella,five"
1070,lionel,"line,limon"
1071,shoro,"shore,shower"
1072,charlie,"charlotte,chara,cali"
1073,mhz,
1074,jean,"jeans,joan"
1075,partidito,"partio,partidoo,patito,partidaso,part"
1076,ls,
1077,call,"callese,callense,calladito,calu,cali,calm,ceballos"
1078,alicia,alina
1079,album,alumni
1080,feat,"feature,fiat,fati"
1081,delfi,delfino
1082,help,hell
1083,gaby,"gabo,gays"
1084,nah,"nahu,nahue,nahir,nahhh"
1085,lamarque,
1086,camara,"camaras,camaa,cambiaria,campora,campari,tamara,amaria,cagaria,casaa"
1087,buenisima,"buenisimooo,bueni,buenita,buenaas,buenass,buenito"
1088,king,"making,kien,kung"
1089,histerica,"histerico,historico,history"
1090,lau,"clau,lauty,lauri"
1091,pcia,"pcial,pia,cia,special"
1092,mñn,
1093,plisss,"pliss,peliss,pibesss"
1094,gh,
1095,perfect,perfeccion
1096,alex,"alexis,alem"
1097,bida,"bidah,bian,baia"
1098,im,ima
1099,dm,
1100,aunq,
1101,dormis,"dormia,dormii,dormiii,dormiir,domir,doritos,dormirla,dormiria,dormír,doors"
1102,ei,eia
1103,tom,"tomy,tomba"
1104,ws,
1105,semi,"sem,semanitas,sexi"
1106,john,"johnny,jon,johnson,joni,jony,josh,joan,jona"
1107,angeles,"angela,angelici,angie"
1108,vip,
1109,paco,"pao,pack,paio"
1110,breaking,"break,being,ranking,reading,braian"
1111,fotito,"fotitos,forrito,fotoo,flojito"
1112,barbaro,"barbi,barby,barreto,bardero,barça,barsa"
1113,mo,
1114,grrr,grr
1115,chupala,chuli
1116,cuestion,"gestion,chupetin"
1117,sere,"secret,stereo,serr,suertee,sele,sese,señoresss,siempree,sure"
1118,german,gera
1119,our,"onur,ou,yours"
1120,tereres,"terere,tereré,teress,teresss,teresita"
1121,over,"oliver,conver"
1122,algoo,"largoo,ago,alguito"
1123,sara,"sanra,sabra,sarita,saa,sandra,sabras,saldra,sarpado,sarpada,estara,isaura,safa,saaa,estaras,estaran,star"
1124,twit,"twitt,twits,twitts,twiter,twiteo,twitea,twt,twittea,twitear,twitteo,twittera,twittean,twitteros,twiteando,twitteando,titi"
1125,cumplee,"cumpli,cumplio,cumplis,cumpa"
1126,fort,"forget,forrita,forrito,ford,florcita,favorite"
1127,garcia,"garca,garcha,garcas,garchar,grecia,garpa,garay,graciaas,graciela,graciias,gabriela"
1128,metio,"meti,metia,mexico,mentis,metegol"
1129,rei,"crei,reis,reci,reia,remis,creia,resis,reite"
1130,ravioles,raices
1131,garcha,"garchar,garca,garcas,acha,garpa,garay"
1132,jardin,
1133,chiqui,"chiquis,chiquitito,chiquitita,chiquititas,chili,chini"
1134,decian,"decias,deca,decision,decidi,decepcion,deberian"
1135,pff,pf
1136,palermo,alem
1137,pérez,
1138,jojo,"jojojo,jjoo"
1139,dai,"dami,dario,davis"
1140,amazing,
1141,power,"poker,poe"
1142,aww,aw
1143,besotes,"besoss,bebote,besoo,betos,besis"
1144,tuiteros,"tuiter,tuiteo,tuitear,twitteros,tuitea,tuiteando,turros"
1145,eeuu,"euu,euuu"
1146,rally,
1147,veamo,"vemo,vamoo,vam"
1148,sip,
1149,rial,"rias,raúl,raul,reia"
1150,gomez,gómez
1151,piercing,piri
1152,find,"findee,finn,fiin"
1153,sms,"sims,sm"
1154,eve,"even,every,reves,neves,seven,level,revez"
1155,follows,"unfollows,unfollow"
1156,vendria,"vendra,vendran,verda,tendrian,tendrias,venii"
1157,chofer,"choferes,cofler,choel,choreo"
1158,ema,"emma,temaa"
1159,angelici,"angela,angie"
1160,benja,"benjamin,bernal"
1161,miami,"mimi,miriam,miamor,mamiii,mamii,milani"
1162,pablito,"papelito,patito,papito,abuelito,pibito,pañuelitos"
1163,delivery,every
1164,unaa,buenaas
1165,laa,"lala,claaa"
1166,away,aay
1167,dibujitos,dibujito
1168,aver,
1169,mtv,
1170,ctes,"courtesy,cute"
1171,tene,"teen,tee,teke,then"
1172,break,brenda
1173,gonna,grondona
1174,sanz,"saenz,sand"
1175,horoscopo,hooo
1176,lost,
1177,nobody,
1178,pobrecita,"pobresita,pobrecitos,pobresito,pobree,problemita,parecia"
1179,viejito,"viejitos,vieji,viejoo,viajecito,viajesito,vientito"
1180,primito,"primitos,primi,primoo,principito,pibito"
1181,podrias,"podras,podias,podriamos,podrian,podra,pondria,podran,podian,porfis"
1182,kiwi,kiii
1183,porfi,"porfis,porfin,porfaa,porfaaa,morfi"
1184,song,"strong,solange,sony,sono,soon,sing"
1185,chan,"chano,change,chavon,changos,chanchi,channel,chabonn,chanchito,changuito,chanchita,chao,chayanne,chabonas,challenge,chin,chamuyando,cant"
1186,euge,eugenia
1187,lovely,"loly,loves,loved,loveee"
1188,parecia,"parecio,parejita,parejitas,paresco,reci,praia,paris,paraa,patetica"
1189,minitas,"minitah,minima,minions,maquinita,inta,minaj"
1190,subi,"subio,subis,subs,subtitulos"
1191,resfrio,"resis,remisero"
1192,gg,ggg
1193,marti,"martu,marita,marito,marin,marii,marie,marian,marisa,comparti,mataria,mat,smart,matina,maricon,maraton,marisol,mariela,marilyn"
1194,remis,"reis,remisero,reimos,resis,rendis,reirse"
1195,keep,kee
1196,ypf,
1197,ball,"bal,ballotage,bell,bull,bill"
1198,twd,
1199,maru,"martu,mau,marquez,mars,mary,mark,marquitos"
1200,sbs,subs
1201,vayanse,vallanse
1202,garca,"garcas,garchar,garpa,garay"
1203,ronaldo,"ronaldinho,road"
1204,rodríguez,
1205,brenda,belinda
1206,tc,
1207,st,
1208,natalia,natacion
1209,asiq,
1210,kkk,"okkk,kk"
1211,bardean,"bardea,bardeando,bardeas,bardera,bardeo,bardearme,bardero,area,barça,barsa"
1212,ajam,adam
1213,rivadavia,
1214,cyrus,crush
1215,jijiji,jijijiji
1216,negri,"negroo,negraa,nigeria"
1217,empedo,"empeza,empeze"
1218,bañito,añito
1219,barça,"barsa,bardea,bardeas,bardera"
1220,bocaa,"broncaa,locaa"
1221,holis,"holi,holiii,oli,hoi"
1222,baia,braian
1223,having,
1224,menc,
1225,mias,"milas,mais,miaa,mija,mila,mika,mars"
1226,vacio,"vacia,valio,nacio,vai"
1227,feli,"felix,felizz,feliiz,eli"
1228,amoor,"amore,amora,vamoo"
1229,something,"some,sometimes,someone"
1230,sole,"soli,spoiler,soul,some,sool,sele"
1231,them,"tem,then,temp"
1232,menem,"eminem,mendez,mentime"
1233,mayoria,"mayra,marian,marita,marisa,morita,mayer"
1234,cositas,"cosito,colita"
1235,boys,"boy,body,bros"
1236,viejaa,"vieji,viejoo,viajee"
1237,amea,"amega,lamela,ameo,american,area"
1238,dragon,drone
1239,embolee,embolante
1240,poli,"polino,oli,politico,policias,politicos,politicas,pool,poio,polideportivo,populismo,pili"
1241,star,"stars,start,stardoll,starbucks,estara,estare,stay,stalkearme,estaras,estaran"
1242,better,"betty,beder"
1243,pipi,"pii,pili,piti,piri,pupi"
1244,dl,
1245,snow,slow
1246,cmo,
1247,ready,"read,reading,dread,replay,reality"
1248,still,"tilly,stella"
1249,white,hit
1250,olivia,"olimpia,oliver"
1251,felizz,"feliiz,felix"
1252,godoy,gordoo
1253,ree,"repe,recep,reves,revez"
1254,vangioni,
1255,many,"any,mani,mann,mary,maty"
1256,gómez,
1257,juna,"juno,juani,juntadita,juga,juaz,jona"
1258,made,"mad,mardel,mode,mbae"
1259,siestaa,"siestitaaa,sieston"
1260,sarpado,sarpada
1261,lcdll,
1262,mña,
1263,ibamos,"bamos,habiamos"
1264,legrand,"learn,legends,leonardo"
1265,okkk,"lokkk,okk,okok"
1266,tambieeen,"tambieen,tambienn,tambiennn,tamb,tami,tambiénnn"
